Galaxy #:,Chi2:,R-Chi2:,AIC:,BIC:,Chi2:,R-Chi2:,AIC:,BIC:,Chi2:,R-Chi2:,AIC:,BIC:
7687.0,449957.5642125212,1.3898904175393567,449971.56455848314,450046.37814941216,72092657.27673367,222.69309172347926,72092681.27769743,72092809.5291969,17573865.84777258,54.285229287721265,17573887.84858807,17574005.412530553
8050.0,358770.8810955799,1.3627695224433838,358784.88152100676,358858.2477231491,10140566.200785508,38.51905979535711,10140590.201970648,10140715.972147055,311985.2206958608,1.185075022965186,312007.2216986679,312122.5111106124
14488.0,616352.1192053851,2.9276769577410158,616366.1197373884,616437.920989211,275212.6924472769,1.307293298280347,275236.69392932137,275359.7812195499,319825.3351922668,1.519201485793726,319847.33644629846,319960.1665668503
22992.0,339016.97488223994,1.2486997041659544,339030.97529477056,339104.55698151607,321407.34521000076,1.183860036649468,321431.34635921434,321557.485951617,341350.1714356363,1.2573120807818878,341372.1724080442,341487.8004487845
23943.0,308319.82331729797,1.4143695075360816,308333.823831083,308405.8690054699,3644241.1488806223,16.717776136451985,3644265.1503119133,3644388.6557746315,271526.4735674034,1.2456085618289319,271548.4747784903,271661.68822024495
28653.0,266689.23178615933,1.106002313227191,266703.2322506429,266775.98360074,298759.454459997,1.2390282778155515,298783.4557539424,298908.17185642093,285885.3949759801,1.1856314980859723,285907.39607085247,286021.71925603534
30502.0,295077.3453684111,1.0967501788476033,295091.3457846968,295164.86404008465,2677173.158544968,9.950762923799882,2677197.1597046424,2677323.190553551,285173.4593454267,1.0599549490060203,285195.46032668615,285310.98868662794
31644.0,221630.40872949778,1.088141128298087,221644.40927938806,221715.97903923038,14997543.26447039,73.63540216165319,14997567.266002264,14997689.95642993,217296.4462506074,1.0668835798904495,217318.44754680278,217430.9138801872
32021.0,4703750.221477262,19.339169742612825,4703764.221937745,4703837.033845478,257613.68996597847,1.0591840685389649,257637.69124877825,257762.51116863513,266310.90444123896,1.0949383457003494,266332.90552668046,266447.3238770076
32739.0,470352.8162633297,1.692507156321917,470366.8166663495,470440.56163152447,337436.1971244318,1.2142447845052207,337460.19824714994,337586.6177556228,337888.4876418828,1.2158679507370764,337910.48859187163,338026.3732204745
39103.0,448945.0948863681,1.7598236624738075,448959.09532539954,449032.2411742882,414222.3317010605,1.6237454349853218,414246.33292410075,414371.725337495,10172104.22638738,39.87434233248941,10172126.227422256,10172241.17055411
40489.0,395974.8028767261,1.3229588148632725,395988.8032509213,396063.0676861661,322541.12877638626,1.0776336137932419,322565.1298188047,322692.43987828336,315534.15127033467,1.0542192648003537,315556.15215237805,315672.85311374033
48659.0,354170.51295624534,1.3742346906986804,354184.5133908238,354257.7306037152,648770.6630300292,2.5173762810758666,648794.6642406641,648920.1789971204,286229.8620065329,1.1106320164153567,286251.86303091235,286366.9183096998
48728.0,5697902.168692704,21.756603531567105,5697916.169120361,5697989.498718917,308208.021645785,1.1768695841191081,308232.02283713856,308357.730262151,288003.4326850607,1.099715653139539,288025.43369312526,288140.66558339616
48884.0,218373.64461805765,1.0502923984958308,218387.64515673672,218459.35911340875,217629.5342220087,1.046738688589445,217653.5357226508,217776.47335689628,210924.71569649602,1.0144854612097176,210946.716966264,211059.4099034763
48971.0,750478.2053982526,3.480688483935275,750492.2059177066,750564.1742759347,370813.6683422678,1.719859134175921,370837.6697893518,370961.0435611513,340324.79760073015,1.578442347226124,340346.7988251802,340459.89155137335
49647.0,706563.2330839803,2.6346702504073036,706577.2335016134,706650.7291363206,307393.6462866876,1.1462470123378388,307417.64745011565,307543.639519271,350112.2194737716,1.3055363828610853,350134.22045820707,350249.71327030635
54424.0,251344.4035992075,1.0694550852868785,251358.4040757627,251430.97581875225,3471058.4417280112,14.769455874187337,3471082.443055586,3471206.851247231,4079152.8300023098,17.356841547642553,4079174.8311256375,4079288.8720615944
54612.0,607554.9009858493,2.0988092311136306,607568.9013727567,607642.9319488157,593480.8399538076,2.05022554920461,593504.8410316396,593631.7501760357,384467.63984481065,1.3281686651724887,384489.6407568191,384605.9742151864
55109.0,1016471.7186640705,4.947610423438018,1016485.7192092258,1016557.3495061755,219133.87672551043,1.06664594739883,219157.87824419464,219280.67245483337,246003.4953780711,1.1974294348216834,246025.49666310532,246138.05812995046
