Galaxy:,Chi2:,R-Chi2:,AIC:,BIC:
7687.0,651457.1822099362,1.4017911015594713,651479.1827780068,651600.7238482159
8050.0,886991.3192996298,2.4216143324377453,887013.3200203899,887132.2423468233
14488.0,569657.7378126803,1.5992951512597955,569679.7385538536,569798.3536603539
22992.0,711977.9728766952,1.513040759596939,711999.9734377288,712121.6516235002
23943.0,498851.01396096323,1.4074144478296018,498873.0147057918,498991.5756954498
28653.0,441515.0356615259,1.1597026525463363,441537.03635496163,441656.3838202218
30502.0,533483.8340266452,1.2986619458042215,533505.834669303,533626.0186666335
31644.0,437231.786562337,1.2862671445072473,437253.78733898577,437371.88813669817
32021.0,585574.3445303419,1.2938381891886905,585596.3451136565,585717.5948858678
32739.0,719250.4483412479,1.5925269148311332,719272.4489257842,719393.6756810064
39103.0,645386.930526221,1.6320110518926831,645408.9311938082,645528.69654727
40489.0,601984.9773373838,1.268690955055994,602006.9778937683,602128.74761598
48659.0,727639.824849396,1.7834615418632085,727661.8254964675,727781.9342042259
48728.0,601145.9282903945,1.5372020720094983,601167.9289654758,601287.5715195228
48884.0,411856.4699769342,1.1948951780693229,411878.47074286424,411996.7244170017
48971.0,694804.5973909469,1.7488071980280666,694826.5980554306,694946.4146672304
49647.0,787244.7816509812,1.781391002701761,787266.7822483663,787387.7698246582
54424.0,878884.5206401928,2.2275505399546645,878906.5213093078,879026.2615153185
54612.0,577100.1201595496,1.4061756711911912,577122.1208028198,577242.2943248902
55109.0,493494.0365842225,1.4449507703107267,493516.0373572169,493634.1900373254
